review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
98ea2491-f7cb-4940-88c1-3dd7f894a55d,ae51c6dd-09b2-4c7b-a286-f26d9bec6b71,1,KIxvvyvAQKvImi9aUpJX,jhIDvGx3TRAtvB14h5N7Gmv3zX2XjuTGy7nCXeyWjCKshtqdZJggEVKPjCugBwzWSHVCdnAac4qWsDTAWBXr7srQFtc0330IcFGA,2023-12-28 21:43:43.893078,2024-01-03 21:43:43.893078
3a861ff2-49b9-42bb-8938-b5de2e3fbc03,fb322f55-092a-485b-a6c8-c63ff4dd9465,1,5Ij059Hbe23nYS5zIKfM,K3hjWm0sERlen5IhMTlc568cMc7VTimNwpb5Qgy5UAfprIURLqHZwDn8y1egxhbIPgC2obpFKXJQU7fqTHiRxyKgQ0YcoeitduQO,2024-07-08 21:43:43.893091,2024-07-16 21:43:43.893091
bef34a95-2c4c-4ed8-90fe-5a321897596b,431cf76e-c1ae-4dc0-8e78-65a701b77a63,4,xdEFy2D6wvdHN99WxZR5,kKv8RxARaohIS1Zhr1pOCHz8CMslQSs8xewp6cFR50N4mbXGTWB5TPlLgYa956ryeuyZMzrR89GivlZbtrlJ1uj2DRQBdbxSEtzr,2024-03-23 21:43:43.893100,2024-03-28 21:43:43.893100
17148136-601f-424e-927b-ac3f9086d97a,11506e56-b0da-42d3-871b-8caf930b9aef,4,8xEKBTFuEizGWXhr6xla,aAjSoSr4tovSGhgiLIbEBUslsaBLAipyfxIEPK5fEaDQ7JyhzKV3zsmmJeTQEDU4KuX0xMd6hCBlzymBbdU26uSmYii9L8fBDA3L,2024-02-11 21:43:43.893108,2024-03-12 21:43:43.893108
4ee0dac7-f417-4e9e-9b79-08fea1c581d5,421e97c8-0f1c-4fa5-b6d0-defca035c90d,5,zGD8zhdlYmqgqzMCeH8j,mKdPEhwZCbvwllh4NnJaMwqvfubEZztf1bu8NsKPIIgSCCLeEWcy9yZT0JqCqa17ZLZa7rQQde4EwjT2E9vgpYwB1fomkcMvRD44,2024-01-19 21:43:43.893116,2024-02-10 21:43:43.893116
6b9bed77-b7e6-4e90-9d1c-3a3907f779a8,d4d36d18-f4cc-4863-9d9b-00cdb17ad821,5,JFvKUduXRZVCOGur40nj,CZ0mbzY0cqma2xHIAwfxPm01u0gMAWXu6zwWLgYtgzxXhFl9jHHE9gtSEcpSeyKEP6wf7GTwPGWgQCQM9pQkSylyFcrTsZX25cGv,2024-11-26 21:43:43.893124,2024-12-15 21:43:43.893124
d4af1466-fce1-4574-8821-72874f2160c7,f26d01fd-3868-49e5-a9c6-9c0bdaa1da1f,5,83sxFDpaGyiQdGLRVL0P,rE8fpe4DWw7aQFjBCgJX2ZGWPmD9ScPbUCa0XkKIzEinspUNT0jaIQKIPRpgoI7WUGN0cCgy9vost7TDjg6K6N5xSrZ52jBxAmF1,2024-10-29 21:43:43.893131,2024-11-12 21:43:43.893131
851857f2-2b2a-472b-96a3-ef595fd0e69a,b664ebb2-cb50-4d32-92dc-bcd7b9f29af7,2,u2RqafItm2PD1bPk0S74,utiJaLUOYRwchdBERpqBP8xje9waofg2G8vjxH2N0SxRibTHcFF3JChFom9dOEnqxs9SqDQAJWDDl4oIZg7ResRo2yH5Iz2ojzeb,2024-09-21 21:43:43.893139,2024-10-03 21:43:43.893139
0f703c3b-2a30-4e27-a051-5243e33590de,4a20e429-554f-4c8b-99fc-e1d226e0d764,1,Sil2NhIiRXskV2XE8ckc,oigxlc20THMoLy20dF8db6xR4eeu2Aiy9A3x552QqGsekqEnZsO1tW7CdYac91CNFcRXCWVwolDE1Lk4DsUpOWBXr8LWZTbXywEr,2023-12-24 21:43:43.893146,2024-01-02 21:43:43.893146
130c2ad8-f280-45c8-af60-63d3e22b7385,72da3c79-75b3-4a02-b2d4-859fc2c94de0,5,47ZMCWcOhhCR2PoLZlF1,aehnJzLffNQIPEYJMhxynyOpyuflA7yuSNXuDCL55ihL7m2PXJD8FSdBwDUjJteCZ5LNsA9SWKqTJmdiptUfjKDGHXRKLmgbRtNh,2024-08-24 21:43:43.893154,2024-09-19 21:43:43.893154
