order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
0c3bb73c-2264-4c18-a920-19b802df09ab,a02d9928-423c-4d8a-9357-4059c153a0d7,processing,2024-01-19 21:43:43.868601,2024-01-21 04:43:43.868601,2024-01-22 04:43:43.868601,2024-01-27 04:43:43.868601,2024-02-04 21:43:43.868601
4aaba13e-3637-483e-b234-7e4ac808e94e,c681aa39-e70a-4937-b521-0ed2cd032460,delivered,2024-10-29 21:43:43.868617,2024-10-30 01:43:43.868617,2024-11-02 01:43:43.868617,2024-11-07 01:43:43.868617,2024-11-05 21:43:43.868617
f1d6bbaa-36fe-458b-baba-a359cebe5f60,13fb94c1-72a5-45e1-a946-785ca8773ca7,delivered,2024-04-01 21:43:43.868624,2024-04-03 19:43:43.868624,2024-04-10 19:43:43.868624,2024-04-12 19:43:43.868624,2024-04-10 21:43:43.868624
bd1c504c-e1dc-474e-8c1c-87201d35fe62,e1dc5561-eca2-4709-91b1-d30d0b5c5c00,delivered,2024-09-10 21:43:43.868629,2024-09-12 04:43:43.868629,2024-09-18 04:43:43.868629,2024-09-21 04:43:43.868629,2024-10-08 21:43:43.868629
31d607d9-d316-4b6e-9720-3ddea1b82f40,6332a844-9add-474a-93f9-73aeacf83180,processing,2024-04-18 21:43:43.868635,2024-04-19 02:43:43.868635,2024-04-25 02:43:43.868635,2024-04-28 02:43:43.868635,2024-05-02 21:43:43.868635
4ea229d3-f23e-4ead-81af-937ea0087a36,2960615a-f476-45e3-b669-0485c7dd65c6,canceled,2023-12-30 21:43:43.868640,2023-12-31 03:43:43.868640,2024-01-02 03:43:43.868640,2024-01-09 03:43:43.868640,2024-01-05 21:43:43.868640
dd03c786-dcfd-445e-8bde-9f5d284d4a2f,c672b396-c173-4605-8040-d2d0ef6a7dd7,invoiced,2024-09-05 21:43:43.868645,2024-09-06 17:43:43.868645,2024-09-12 17:43:43.868645,2024-09-13 17:43:43.868645,2024-09-17 21:43:43.868645
08f88011-4c14-4acf-bf0b-82bc9d47c61b,68444849-1942-47b2-8cf9-1cf901321f97,shipped,2024-09-05 21:43:43.868650,2024-09-06 13:43:43.868650,2024-09-09 13:43:43.868650,2024-09-15 13:43:43.868650,2024-09-19 21:43:43.868650
4c0203b7-6b85-4a15-82bd-26aefe401a70,11a42f05-a615-42b8-b632-7173f6d41eba,delivered,2024-05-13 21:43:43.868655,2024-05-14 05:43:43.868655,2024-05-20 05:43:43.868655,2024-05-22 05:43:43.868655,2024-05-18 21:43:43.868655
d4599cff-a448-44e5-9916-ac97295bd528,f6c21e60-f605-4c29-99c5-92386accaafb,processing,2024-09-27 21:43:43.868659,2024-09-27 22:43:43.868659,2024-09-28 22:43:43.868659,2024-10-01 22:43:43.868659,2024-10-19 21:43:43.868659
